,1,2,3,4
0,x3,x3,x3,x3
1,noise6,noise4,noise4,noise4
2,corr1,noise10,corr1,corr1
3,x1,corr1,noise7,noise7
4,noise4,x1,noise10,noise10
5,x2,noise7,x1,noise2
6,noise7,noise2,noise2,x1
7,noise1,x2,x2,x2
8,noise9,noise9,noise9,noise8
9,noise5,noise8,noise8,noise1
10,corr2,noise1,noise1,noise6
11,noise10,noise6,noise6,noise5
12,noise8,noise5,noise5,corr2
13,noise2,corr2,corr2,noise9
14,noise3,noise3,noise3,noise3
