Ybar,x3,noise5,noise8,x2,corr2,noise7,noise3,noise4,corr1,noise1,noise2,noise9,x1,noise6,noise10
-2.11235,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0
-2.10905,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
-2.12461,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1
-2.08091,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0
-2.18268,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0
-2.1457,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1
-2.12209,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0
-2.12326,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1
-2.15917,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0
-2.08761,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0
-2.1245,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
-2.13899,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1
-2.16682,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0
-2.13612,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
-2.18339,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1
-2.15734,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0
-2.13956,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1
-2.10192,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0
-2.13488,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0
-2.10684,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0
-2.1101,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1
-2.11478,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0
-2.11167,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0
-2.16405,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
-2.14431,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1
-2.1444,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0
-2.18266,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0
-2.14416,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0
-2.13759,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0
-2.11359,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0
