,1,2,3,4,5,6,7,8,9,10
0,corr3,x6,corr3,corr3,corr3,corr3,corr3,corr3,x6,x1
1,noise34,corr3,x6,x6,x6,x6,x6,x6,x2,x6
2,x6,x4,x3,x3,x3,x3,x3,x3,corr3,x2
3,noise23,x3,x4,x4,x4,x4,x4,x4,x1,x3
4,corr2,x1,x1,x1,x1,x1,x1,x1,x3,corr3
5,noise20,x5,x5,x5,noise34,noise34,noise34,noise34,x4,x5
6,noise27,corr2,corr2,noise34,x5,x5,x5,noise39,x5,corr2
7,noise38,noise39,noise34,noise38,noise23,noise22,noise38,noise22,noise39,noise39
8,noise8,noise22,noise38,noise22,noise39,noise23,noise22,x5,noise4,x4
9,corr4,noise27,noise39,noise23,noise22,noise38,noise23,corr2,noise22,noise22
10,noise10,noise34,noise22,corr2,noise38,noise39,noise39,noise44,noise34,noise4
11,noise47,noise46,noise23,noise39,noise27,noise47,noise47,noise23,corr2,noise27
12,x4,noise4,noise46,noise4,noise4,noise4,corr2,noise38,noise27,noise46
13,noise49,noise47,noise4,noise27,noise47,noise27,noise27,noise4,noise7,noise2
14,noise19,noise6,noise27,noise7,noise19,corr2,noise4,noise27,noise45,noise34
15,noise12,noise7,noise47,noise47,noise18,noise9,noise19,noise47,noise47,noise7
16,x5,noise19,noise7,noise30,noise10,noise3,noise44,noise10,noise46,noise8
17,x3,noise30,noise3,noise10,corr2,noise19,noise3,noise50,noise10,noise47
18,noise50,x2,noise19,noise18,noise9,noise10,noise10,noise29,noise2,noise50
19,noise24,noise3,noise30,noise46,noise3,noise30,noise50,noise19,noise44,noise15
20,noise45,noise11,noise21,noise3,noise46,noise7,noise29,noise45,noise38,noise25
21,noise18,noise23,noise50,noise9,noise7,noise18,noise45,noise7,noise50,noise11
22,noise39,noise38,noise9,noise49,noise50,noise50,noise30,noise11,noise11,corr4
23,noise42,noise21,noise6,noise19,noise30,noise46,noise46,noise9,noise19,noise19
24,x1,noise10,noise29,noise21,noise49,noise33,noise7,noise49,noise25,noise29
25,noise21,noise2,noise49,noise50,noise45,noise45,noise9,noise3,noise8,noise31
26,noise9,noise44,noise44,noise29,noise29,noise49,noise33,noise30,noise15,noise14
27,noise11,noise40,noise15,noise25,noise21,noise29,noise18,x2,noise49,noise45
28,noise17,noise9,noise32,noise32,noise44,noise21,noise49,noise18,noise42,noise21
29,noise22,noise12,noise10,noise33,noise33,noise6,noise6,noise33,noise29,noise3
30,noise7,noise41,noise25,noise45,noise32,noise44,noise21,noise46,noise35,noise38
31,noise15,noise5,x2,noise31,noise13,noise20,noise41,noise25,noise41,noise33
32,noise31,noise50,noise5,noise44,noise15,noise5,noise11,noise32,noise24,noise28
33,noise28,corr1,noise45,noise15,noise6,noise32,noise25,noise21,noise6,noise44
34,noise29,noise28,noise18,noise5,noise5,noise25,noise32,noise41,noise28,noise36
35,noise44,noise33,noise40,noise6,noise20,noise41,noise20,noise5,noise32,noise35
36,noise46,noise17,noise33,noise13,noise24,noise26,noise5,noise2,noise21,noise48
37,noise48,noise13,noise24,noise2,noise12,noise13,noise13,noise6,noise17,noise5
38,noise26,noise49,noise11,noise37,noise26,noise8,noise8,noise13,noise23,noise37
39,noise32,noise15,noise13,noise40,noise11,noise12,noise40,noise8,noise3,noise30
40,noise13,noise24,noise20,noise24,noise40,noise11,noise12,noise28,noise33,noise26
41,noise30,noise8,noise41,noise26,noise25,noise40,noise37,noise15,noise18,noise6
42,noise14,noise16,noise2,noise41,noise41,noise37,noise2,noise16,noise12,noise42
43,noise4,noise18,noise37,noise8,noise37,noise15,noise24,noise40,noise9,noise1
44,noise35,noise29,noise16,noise12,noise2,corr4,noise28,noise12,noise5,noise41
45,noise3,noise1,noise28,noise16,noise36,noise2,noise16,noise26,corr4,noise17
46,noise40,noise32,noise12,noise11,noise16,noise24,noise15,corr1,noise26,noise40
47,noise1,noise45,noise36,noise20,noise8,noise16,noise26,noise20,noise40,noise43
48,noise43,noise48,noise26,noise36,corr4,noise36,noise36,noise31,noise31,noise10
49,noise16,noise25,noise48,noise28,noise31,noise28,corr4,noise42,noise16,noise16
50,noise6,noise26,noise31,noise48,noise28,noise31,noise31,noise37,noise14,noise12
51,noise25,noise37,noise42,noise1,corr1,corr1,noise42,noise1,noise1,noise9
52,noise37,noise36,noise14,corr1,noise1,noise48,corr1,noise17,noise48,noise18
53,noise2,noise42,noise8,noise42,noise48,noise42,noise1,noise48,noise37,noise32
54,noise41,noise35,noise1,x2,noise42,noise1,noise48,noise24,noise30,noise23
55,noise33,noise31,noise17,corr4,noise17,noise35,noise17,noise36,noise43,corr1
56,noise5,noise20,corr4,noise14,noise14,noise14,noise14,noise35,corr1,noise49
57,x2,noise14,corr1,noise17,noise35,noise17,noise35,noise14,noise13,noise24
58,noise36,corr4,noise35,noise35,noise43,noise43,noise43,corr4,noise36,noise13
59,corr1,noise43,noise43,noise43,x2,x2,x2,noise43,noise20,noise20
