R,Time,Perf Mean,Perf Var,Perf Improvement
0,0.1333,2.254614,0.001564,0
1,0.2167,2.193053,0.001658,0.0615610000000002
2,0.3167,2.183188,0.001326,0.009865000000000013
3,0.4667,2.175897,0.001084,0.007290999999999936
4,0.7,2.13462,0.000723,0.04127700000000001
