,1,2,3,4
0,x3,x3,x3,x3
1,noise6,corr1,x1,x1
2,corr1,x1,corr1,corr1
3,x1,x2,x2,x2
4,noise4,noise4,noise4,noise4
5,x2,noise6,noise6,noise6
6,noise7,noise9,noise7,noise1
7,noise1,noise7,noise1,noise7
8,noise9,noise3,noise3,noise3
9,noise5,noise8,noise9,noise8
10,corr2,noise1,noise8,noise10
11,noise10,noise10,noise2,noise9
12,noise8,noise2,noise10,noise2
13,noise2,noise5,noise5,noise5
14,noise3,corr2,corr2,corr2
