,1,2,3,4,5,6,7,8,9,10
0,corr3,x6,corr3,corr3,corr3,corr3,corr3,corr3,corr3,corr3
1,x6,corr3,x6,x6,x6,x6,x6,x6,x6,x6
2,noise34,x4,x4,x4,x4,x4,x4,x4,x4,x4
3,noise23,corr2,corr2,noise34,x1,x3,x3,x3,x3,x3
4,corr2,noise34,noise34,x1,noise34,x1,x1,x1,x1,x1
5,noise49,x1,x1,corr2,x3,noise34,noise34,noise34,noise34,noise34
6,x4,noise47,x3,x3,corr2,x5,x5,x5,x5,x5
7,noise47,noise27,x5,x5,x5,corr2,noise23,corr2,noise39,noise39
8,noise10,noise39,noise39,noise23,noise23,noise23,corr2,noise39,corr2,corr2
9,corr4,noise23,noise23,noise39,noise39,noise39,noise39,noise23,noise22,noise22
10,noise20,x3,noise47,noise38,noise38,noise38,noise38,noise38,noise38,noise27
11,noise8,x5,noise27,noise27,noise27,noise27,noise47,noise22,noise27,noise47
12,noise38,noise10,noise38,noise47,noise47,noise47,noise22,noise47,noise47,noise38
13,noise27,noise38,noise46,noise22,noise22,noise22,noise27,noise27,noise23,noise4
14,x1,noise19,noise22,noise46,noise46,noise4,noise4,noise4,noise4,noise23
15,noise42,noise46,noise19,noise10,noise19,noise19,noise19,noise19,noise10,noise19
16,noise24,noise49,noise10,noise19,noise10,noise10,noise10,noise10,noise19,noise46
17,noise39,noise22,noise49,noise7,noise4,noise46,noise46,noise46,noise7,noise7
18,noise18,noise7,noise7,noise4,noise7,noise7,noise7,noise7,noise46,noise10
19,noise45,noise50,noise50,noise49,noise49,noise3,noise3,noise50,noise50,noise50
20,noise19,noise8,noise4,noise50,noise50,noise49,noise50,noise3,noise49,noise3
21,noise50,noise12,noise21,noise21,noise3,noise50,noise49,noise49,noise44,noise44
22,x3,noise44,noise6,noise30,noise30,noise30,noise30,noise30,noise3,noise45
23,x5,noise6,noise44,noise3,noise21,noise9,noise9,noise9,noise45,noise29
24,noise12,noise24,noise3,noise9,noise18,noise18,noise18,noise44,noise9,noise49
25,noise32,noise21,noise30,noise18,noise9,noise21,noise21,noise18,noise30,noise21
26,noise26,noise11,noise9,noise44,noise44,noise44,noise44,noise29,noise18,noise30
27,noise48,noise4,noise24,noise6,noise6,noise6,noise29,noise21,noise29,noise9
28,noise46,noise18,noise18,noise29,noise29,noise45,noise45,noise45,noise21,noise18
29,noise44,noise45,noise11,noise45,noise45,noise29,noise6,noise6,noise6,noise6
30,noise31,noise3,noise45,noise32,noise32,noise32,noise32,noise32,noise32,noise11
31,noise29,noise30,noise12,noise24,noise15,noise15,noise33,noise33,noise11,noise25
32,noise28,noise20,noise29,noise15,noise24,noise33,noise11,noise11,noise33,noise33
33,noise21,noise9,noise15,noise12,noise12,noise24,noise20,noise25,noise25,noise15
34,noise15,corr4,noise32,noise11,noise11,noise12,noise15,noise5,noise15,noise32
35,noise7,noise28,x2,noise40,noise33,noise20,noise25,noise15,noise8,noise8
36,noise22,noise42,noise8,noise25,noise40,noise5,noise5,noise20,noise5,noise2
37,noise17,noise48,noise20,noise8,noise20,noise11,noise12,noise12,noise41,x2
38,noise11,noise40,noise40,noise20,noise25,noise25,noise24,noise13,noise2,noise5
39,noise9,noise15,noise28,noise5,noise5,noise40,noise40,noise40,noise24,noise41
40,noise25,noise32,noise42,noise33,noise8,noise13,noise13,noise8,noise12,noise12
41,noise6,x2,noise25,noise2,noise13,noise8,noise8,noise41,noise40,noise40
42,noise16,noise17,noise2,x2,noise2,noise26,noise41,noise24,noise20,noise24
43,noise43,noise29,noise5,noise28,noise26,noise2,noise26,noise2,x2,noise28
44,noise1,noise26,noise48,noise13,noise41,noise41,noise2,noise26,noise13,noise26
45,noise40,noise2,corr4,noise26,noise28,noise28,noise28,noise28,noise26,noise20
46,noise3,noise16,noise26,noise31,noise31,noise16,noise37,noise16,noise28,noise13
47,noise35,noise31,noise33,noise41,x2,noise31,noise16,noise37,noise16,noise31
48,noise4,noise41,noise41,noise48,noise16,noise37,noise31,x2,noise42,corr4
49,noise14,noise13,noise16,noise42,noise48,corr4,corr4,noise31,noise31,noise42
50,noise30,noise5,noise13,noise16,corr4,noise48,noise42,corr4,noise37,noise16
51,noise13,noise25,noise17,corr4,noise42,x2,noise48,noise42,corr4,noise37
52,noise37,corr1,noise31,noise37,noise37,noise42,x2,noise48,noise48,noise48
53,noise2,noise1,noise1,noise17,noise17,noise17,noise36,corr1,noise17,noise17
54,noise41,noise33,noise37,noise1,noise1,noise36,corr1,noise36,corr1,noise36
55,noise33,noise35,corr1,corr1,corr1,corr1,noise17,noise17,noise1,noise1
56,noise5,noise43,noise36,noise36,noise36,noise1,noise1,noise1,noise36,noise35
57,x2,noise37,noise14,noise14,noise14,noise14,noise14,noise14,noise35,corr1
58,noise36,noise14,noise35,noise35,noise35,noise35,noise35,noise35,noise14,noise14
59,corr1,noise36,noise43,noise43,noise43,noise43,noise43,noise43,noise43,noise43
