R,Time,Perf Mean,Perf Var,Perf Improvement
0,0.0667,2.113821,0.001214,0
1,0.1,2.10285,0.000909,0.010971000000000064
2,0.15,2.080071,0.000933,0.022779000000000327
3,0.2333,2.078659,0.000807,0.0014119999999997468
4,0.3167,2.038635,0.000651,0.04002399999999984
5,0.4333,2.031709,0.000327,0.006925999999999988
