,1,2,3,4,5,6,7,8,9,10
0,corr3,noise16,corr3,corr3,corr3,corr3,corr3,corr3,x6,x6
1,x6,noise17,x6,x6,x6,x6,x6,x6,corr3,corr3
2,noise34,x6,noise19,noise16,x4,x4,x4,x4,x4,noise27
3,noise23,corr3,corr2,x4,noise16,noise27,noise27,noise27,noise27,x4
4,corr2,noise37,noise16,noise27,noise27,noise16,noise16,noise16,noise16,noise16
5,noise49,corr2,noise44,noise19,noise44,noise44,noise34,noise34,noise34,noise47
6,x4,noise19,x4,corr2,noise34,noise34,noise47,noise47,noise47,noise39
7,noise47,noise1,noise27,noise44,noise19,noise19,noise14,noise19,noise14,noise19
8,noise10,noise28,noise14,noise34,noise47,noise47,noise19,noise14,noise19,noise34
9,corr4,noise44,noise34,noise14,noise14,noise14,noise39,noise39,noise39,x1
10,noise20,x4,noise47,noise47,noise50,noise50,noise50,noise1,noise1,noise50
11,noise8,noise27,noise37,noise50,noise39,noise39,x1,x1,x1,noise1
12,noise38,noise15,noise1,noise39,noise1,noise1,noise1,noise35,noise50,corr2
13,noise27,noise12,noise50,noise1,noise15,x1,noise35,noise50,corr2,noise21
14,x1,noise47,noise39,noise15,x1,noise35,noise36,noise36,noise36,x5
15,noise42,noise36,noise36,noise36,noise35,noise36,noise21,corr2,noise43,noise43
16,noise24,noise35,noise35,x1,noise36,noise21,corr2,noise21,noise21,noise37
17,noise39,noise14,x1,noise35,noise21,corr2,noise44,noise38,noise38,noise40
18,noise18,noise34,noise15,noise21,corr2,noise37,noise37,noise23,noise37,x3
19,noise45,noise25,noise21,noise37,noise37,noise38,noise38,noise37,noise10,noise46
20,noise19,noise50,noise38,noise13,noise38,noise15,noise23,noise43,x5,noise7
21,noise50,noise39,noise13,noise38,noise40,noise23,noise40,noise40,noise40,noise36
22,x3,noise21,noise28,noise23,noise23,noise40,noise43,noise13,noise46,noise26
23,x5,x1,noise9,noise40,noise46,noise43,noise13,x5,x3,noise29
24,noise12,noise38,noise25,noise46,noise43,noise46,noise46,noise10,noise32,noise41
25,noise32,noise9,noise23,noise43,noise13,noise13,noise10,noise15,noise7,noise28
26,noise26,noise29,noise40,noise28,noise41,x5,x5,noise46,noise15,noise44
27,noise48,noise13,noise43,noise9,x5,noise10,noise15,noise7,noise28,noise5
28,noise46,noise10,noise46,noise29,noise10,noise29,noise28,noise28,noise12,noise38
29,noise44,noise43,noise29,x5,noise29,noise41,noise7,noise32,noise44,noise12
30,noise31,noise46,noise17,noise41,noise28,noise7,noise25,x3,noise26,corr1
31,noise29,noise23,x5,noise10,noise9,noise28,x3,noise25,noise29,noise6
32,noise28,noise40,noise11,noise25,noise7,noise25,noise32,noise9,noise41,noise15
33,noise21,noise48,noise10,x3,noise25,x3,noise29,noise41,noise25,noise25
34,noise15,noise11,noise12,noise7,x3,noise32,noise9,noise12,noise49,noise17
35,noise7,x5,noise33,noise32,noise12,noise12,noise12,noise44,noise6,noise22
36,noise22,x3,noise41,noise12,noise32,noise9,noise41,noise26,noise5,noise48
37,noise17,noise33,x3,noise48,noise26,noise26,noise11,noise29,noise13,noise45
38,noise11,noise7,noise7,noise26,noise11,noise11,noise26,noise5,corr1,noise33
39,noise9,noise41,noise48,noise17,noise24,noise45,noise2,noise2,noise48,noise32
40,noise25,noise32,noise32,noise11,noise45,noise2,noise5,noise49,noise31,noise14
41,noise6,noise5,noise18,noise45,noise5,noise5,noise6,noise6,noise17,noise13
42,noise16,noise24,noise24,noise33,noise17,noise6,noise49,noise17,noise9,noise11
43,noise43,noise26,noise31,noise5,noise2,noise49,noise45,corr1,noise22,noise35
44,noise1,noise18,noise26,noise24,noise48,noise48,corr1,noise48,noise35,noise3
45,noise40,noise31,noise45,noise2,noise49,noise17,noise17,noise45,noise33,noise31
46,noise3,noise3,noise5,noise6,noise33,corr1,noise48,noise11,noise11,noise10
47,noise35,noise6,noise6,noise49,noise6,noise24,noise24,noise31,noise45,noise24
48,noise4,noise45,noise2,noise18,corr1,noise31,noise31,noise18,noise18,noise4
49,noise14,noise22,noise49,corr1,noise31,noise33,noise18,noise33,noise24,noise9
50,noise30,corr1,corr1,noise31,noise22,noise18,noise22,noise22,noise23,noise18
51,noise13,noise2,noise22,noise22,noise3,noise22,noise33,noise3,noise2,noise49
52,noise37,noise49,noise3,noise3,noise18,noise3,noise3,noise24,noise3,noise2
53,noise2,noise8,noise30,noise30,noise30,noise30,noise30,noise30,noise4,noise42
54,noise41,noise30,x2,noise4,noise4,noise8,noise8,noise8,noise8,noise8
55,noise33,noise4,noise4,noise8,noise8,noise4,noise4,noise4,noise42,noise30
56,noise5,noise42,noise42,noise42,noise42,noise42,noise42,noise42,noise30,noise20
57,x2,x2,noise8,x2,noise20,noise20,noise20,noise20,noise20,noise23
58,noise36,noise20,noise20,noise20,x2,x2,corr4,corr4,corr4,corr4
59,corr1,corr4,corr4,corr4,corr4,corr4,x2,x2,x2,x2
