,Level,Node,Partitioned Feat,IoE,Path Feats,Path,Sample Average,BackTrack,Branch Decision,Parent,Children,Str Path,Str Parent,Active
0,0,1,x1,1,['x1'],[1],2.06332,0,1,[],"[[1, 1], [1, 0]]",1,,1
1,1,3,x2,1,"['x1', 'x2']","[1, 1]",2.06621,0,1,[1],"[[1, 1, 1], [1, 1, 0]]",11,1,1
2,2,6,corr1,0,"['x1', 'x2', 'corr1']","[1, 1, 0]",2.06332,0,1,"[1, 1]","[[1, 1, 0, 1], [1, 1, 0, 0]]",110,11,1
3,3,7,noise7,1,"['x1', 'x2', 'corr1', 'noise7']","[1, 1, 0, 1]",2.06332,0,1,"[1, 1, 0]","[[1, 1, 0, 1, 1], [1, 1, 0, 1, 0]]",1101,110,1
4,4,9,noise6,1,"['x1', 'x2', 'corr1', 'noise7', 'noise6']","[1, 1, 0, 1, 1]",2.06332,0,1,"[1, 1, 0, 1]","[[1, 1, 0, 1, 1, 1], [1, 1, 0, 1, 1, 0]]",11011,1101,1
5,5,11,noise10,1,"['x1', 'x2', 'corr1', 'noise7', 'noise6', 'noise10']","[1, 1, 0, 1, 1, 1]",2.06332,0,1,"[1, 1, 0, 1, 1]","[[1, 1, 0, 1, 1, 1, 1], [1, 1, 0, 1, 1, 1, 0]]",110111,11011,1
6,6,14,noise9,0,"['x1', 'x2', 'corr1', 'noise7', 'noise6', 'noise10', 'noise9']","[1, 1, 0, 1, 1, 1, 0]",2.06332,0,1,"[1, 1, 0, 1, 1, 1]","[[1, 1, 0, 1, 1, 1, 0, 1], [1, 1, 0, 1, 1, 1, 0, 0]]",1101110,110111,1
