,Level,Node,Partitioned Feat,IoE,Path Feats,Path,Sample Average,BackTrack,Branch Decision,Parent,Children,Str Path,Str Parent,Active
0,0,1,x3,1,['x3'],[1],1.9908,0,1,[],"[[1, 1], [1, 0]]",1,,1
1,1,3,noise7,1,"['x3', 'noise7']","[1, 1]",1.9921,0,1,[1],"[[1, 1, 1], [1, 1, 0]]",11,1,1
2,2,5,corr1,1,"['x3', 'noise7', 'corr1']","[1, 1, 1]",1.98442,0,1,"[1, 1]","[[1, 1, 1, 1], [1, 1, 1, 0]]",111,11,1
3,3,7,noise10,1,"['x3', 'noise7', 'corr1', 'noise10']","[1, 1, 1, 1]",1.98442,0,1,"[1, 1, 1]","[[1, 1, 1, 1, 1], [1, 1, 1, 1, 0]]",1111,111,1
4,4,10,x2,0,"['x3', 'noise7', 'corr1', 'noise10', 'x2']","[1, 1, 1, 1, 0]",1.98442,0,1,"[1, 1, 1, 1]","[[1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 0, 0]]",11110,1111,1
5,5,12,noise6,0,"['x3', 'noise7', 'corr1', 'noise10', 'x2', 'noise6']","[1, 1, 1, 1, 0, 0]",1.98442,0,1,"[1, 1, 1, 1, 0]","[[1, 1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 0, 0, 0]]",111100,11110,1
6,6,13,noise8,1,"['x3', 'noise7', 'corr1', 'noise10', 'x2', 'noise6', 'noise8']","[1, 1, 1, 1, 0, 0, 1]",1.98442,0,1,"[1, 1, 1, 1, 0, 0]","[[1, 1, 1, 1, 0, 0, 1, 1], [1, 1, 1, 1, 0, 0, 1, 0]]",1111001,111100,1
