,Level,Node,Partitioned Feat,IoE,Path Feats,Path,Sample Average,BackTrack,Branch Decision,Parent,Children,Str Path,Str Parent,Active
0,0,1,x6,1,['x6'],[1],2.16116,0,1,[],"[[1, 1], [1, 0]]",1,,1
1,1,3,x2,1,"['x6', 'x2']","[1, 1]",1.96655,0,1,[1],"[[1, 1, 1], [1, 1, 0]]",11,1,1
2,2,5,x5,1,"['x6', 'x2', 'x5']","[1, 1, 1]",1.95923,0,1,"[1, 1]","[[1, 1, 1, 1], [1, 1, 1, 0]]",111,11,1
3,3,8,noise46,0,"['x6', 'x2', 'x5', 'noise46']","[1, 1, 1, 0]",1.9157,0,1,"[1, 1, 1]","[[1, 1, 1, 0, 1], [1, 1, 1, 0, 0]]",1110,111,1
4,4,10,noise7,0,"['x6', 'x2', 'x5', 'noise46', 'noise7']","[1, 1, 1, 0, 0]",1.95545,0,1,"[1, 1, 1, 0]","[[1, 1, 1, 0, 0, 1], [1, 1, 1, 0, 0, 0]]",11100,1110,1
5,5,12,noise4,0,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4']","[1, 1, 1, 0, 0, 0]",1.92406,0,1,"[1, 1, 1, 0, 0]","[[1, 1, 1, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0]]",111000,11100,1
6,6,14,corr2,0,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4', 'corr2']","[1, 1, 1, 0, 0, 0, 0]",1.92316,0,1,"[1, 1, 1, 0, 0, 0]","[[1, 1, 1, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0, 0]]",1110000,111000,1
7,7,16,noise39,0,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4', 'corr2', 'noise39']","[1, 1, 1, 0, 0, 0, 0, 0]",1.91013,0,1,"[1, 1, 1, 0, 0, 0, 0]","[[1, 1, 1, 0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0]]",11100000,1110000,1
8,8,18,noise27,0,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4', 'corr2', 'noise39', 'noise27']","[1, 1, 1, 0, 0, 0, 0, 0, 0]",1.9091,0,1,"[1, 1, 1, 0, 0, 0, 0, 0]","[[1, 1, 1, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0]]",111000000,11100000,1
9,9,20,noise36,0,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4', 'corr2', 'noise39', 'noise27', 'noise36']","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1.91106,0,1,"[1, 1, 1, 0, 0, 0, 0, 0, 0]","[[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]]",1110000000,111000000,1
10,10,21,noise2,1,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4', 'corr2', 'noise39', 'noise27', 'noise36', 'noise2']","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",1.91605,0,1,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]]",11100000001,1110000000,1
11,11,23,noise16,1,"['x6', 'x2', 'x5', 'noise46', 'noise7', 'noise4', 'corr2', 'noise39', 'noise27', 'noise36', 'noise2', 'noise16']","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1.92156,0,1,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]","[[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]]",111000000011,11100000001,1
