,Level,Node,Partitioned Feat,IoE,Path Feats,Path,Sample Average,BackTrack,Branch Decision,Parent,Children,Str Path,Str Parent
21,10,22,noise2,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0]",2.0911,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0]]",10100110100,1010011010
22,11,23,noise34,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1]",2.10929,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0]]",101001101011,10100110101
23,11,24,noise34,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]",2.07836,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]]",101001101010,10100110101
24,12,25,noise7,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1]",2.09438,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]]",1010011010101,101001101010
25,12,26,noise7,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",2.08382,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]]",1010011010100,101001101010
26,13,27,noise8,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1]",2.0849,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0]]",10100110101001,1010011010100
27,13,28,noise8,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]",2.06392,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]]",10100110101000,1010011010100
28,14,29,noise47,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1]",2.0982,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0]]",101001101010001,10100110101000
29,14,30,noise47,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]",2.08928,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]]",101001101010000,10100110101000
30,15,31,noise50,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",2.07585,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]]",1010011010100001,101001101010000
31,15,32,noise50,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",2.08354,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]]",1010011010100000,101001101010000
