,Level,Node,Partitioned Feat,IoE,Path Feats,Path,Sample Average,BackTrack,Branch Decision,Parent,Children,Str Path,Str Parent,Active
23,11,24,noise34,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]",2.07836,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]]",101001101010,10100110101,1
24,12,25,noise7,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1]",2.09438,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]]",1010011010101,101001101010,0
25,12,26,noise7,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]",2.08382,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]]",1010011010100,101001101010,1
26,13,27,noise8,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1]",2.0849,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0]]",10100110101001,1010011010100,0
27,13,28,noise8,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]",2.06392,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]]",10100110101000,1010011010100,1
28,14,29,noise47,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1]",2.0982,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0]]",101001101010001,10100110101000,0
29,14,30,noise47,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]",2.08928,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]]",101001101010000,10100110101000,1
30,15,31,noise50,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]",2.07585,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]]",1010011010100001,101001101010000,1
31,15,32,noise50,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",2.08354,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]]",1010011010100000,101001101010000,0
32,16,33,noise15,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1]",2.07974,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]]",10100110101000011,1010011010100001,1
33,16,34,noise15,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]",2.09705,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]]",10100110101000010,1010011010100001,0
34,17,35,noise25,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15', 'noise25']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1]",2.0945,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0]]",101001101010000111,10100110101000011,0
35,17,36,noise25,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15', 'noise25']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]",2.08042,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]]",101001101010000110,10100110101000011,1
36,18,37,noise11,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15', 'noise25', 'noise11']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",2.08619,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]]",1010011010100001101,101001101010000110,0
37,18,38,noise11,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15', 'noise25', 'noise11']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",2.08042,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]]",1010011010100001100,101001101010000110,1
38,19,39,corr4,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15', 'noise25', 'noise11', 'corr4']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1]",2.07983,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]]",10100110101000011001,1010011010100001100,0
39,19,40,corr4,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15', 'noise25', 'noise11', 'corr4']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",2.07513,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]]",10100110101000011000,1010011010100001100,1
40,20,41,noise19,1,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15', 'noise25', 'noise11', 'corr4', 'noise19']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",2.08895,0,0,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]]",101001101010000110001,10100110101000011000,0
41,20,42,noise19,0,"['x3', 'corr3', 'x5', 'corr2', 'noise39', 'x4', 'noise22', 'noise4', 'noise27', 'noise46', 'noise2', 'noise34', 'noise7', 'noise8', 'noise47', 'noise50', 'noise15', 'noise25', 'noise11', 'corr4', 'noise19']","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",2.07645,0,1,"[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1], [1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]]",101001101010000110000,10100110101000011000,1
