Experiment,Features
DM_GA5,"['x1', 'x2', 'x3', 'x4', 'x6', 'corr2', 'noise3', 'noise10', 'noise11', 'noise14', 'noise15', 'noise16', 'noise17', 'noise19', 'noise20', 'noise24', 'noise28', 'noise36', 'noise37', 'noise40', 'noise42', 'noise43', 'noise44', 'noise45', 'noise46', 'noise49']"
DM_GA6,"['x1', 'x2', 'x3', 'x4', 'x5', 'x6', 'noise2', 'noise3', 'noise7', 'noise12', 'noise14', 'noise15', 'noise18', 'noise25', 'noise26', 'noise28', 'noise30', 'noise35', 'noise36', 'noise37', 'noise44']"
DM_GA7,"['x1', 'x2', 'x3', 'x4', 'x6', 'corr2', 'corr4', 'noise2', 'noise3', 'noise9', 'noise10', 'noise11', 'noise17', 'noise18', 'noise19', 'noise24', 'noise26', 'noise27', 'noise28', 'noise32', 'noise35', 'noise37', 'noise40', 'noise41', 'noise49']"
DM_GA8,"['x1', 'x2', 'x3', 'x4', 'x6', 'corr3', 'noise7', 'noise11', 'noise12', 'noise13', 'noise17', 'noise18', 'noise19', 'noise20', 'noise22', 'noise24', 'noise32', 'noise39', 'noise41', 'noise42', 'noise46', 'noise47', 'noise49']"
DM_GA9,"['x1', 'x2', 'x3', 'x4', 'x6', 'corr2', 'corr4', 'noise3', 'noise9', 'noise13', 'noise14', 'noise15', 'noise16', 'noise17', 'noise20', 'noise21', 'noise23', 'noise24', 'noise28', 'noise39', 'noise40', 'noise42', 'noise43', 'noise44', 'noise45', 'noise46', 'noise49']"
DM_GA10,"['x1', 'x2', 'x4', 'x5', 'x6', 'corr3', 'noise1', 'noise3', 'noise4', 'noise5', 'noise11', 'noise13', 'noise19', 'noise21', 'noise33', 'noise34', 'noise35', 'noise44', 'noise48', 'noise50']"
DL_GA1,"['x1', 'x2', 'x3', 'x4', 'x5', 'x6', 'x7', 'x8', 'x9', 'x10', 'corr4', 'noise4', 'noise5', 'noise8', 'noise10', 'noise12', 'noise15', 'noise18', 'noise20', 'noise23', 'noise24', 'noise25', 'noise27', 'noise30', 'noise31', 'noise35', 'noise41', 'noise42', 'noise43', 'noise44', 'noise45', 'noise47', 'noise51', 'noise53', 'noise54', 'noise59', 'noise62', 'noise63', 'noise64', 'noise73', 'noise82', 'noise84', 'noise85', 'noise89', 'noise92', 'noise96', 'noise98', 'noise99', 'noise100', 'noise102', 'noise104', 'noise106', 'noise110', 'noise111', 'noise112', 'noise115', 'noise117', 'noise122', 'noise124', 'noise125', 'noise126', 'noise128', 'noise134']"
DL_GA2,"['x1', 'x2', 'x3', 'x4', 'x5', 'x6', 'x7', 'x8', 'x9', 'x10', 'corr2', 'corr5', 'noise2', 'noise3', 'noise4', 'noise5', 'noise6', 'noise7', 'noise15', 'noise19', 'noise28', 'noise31', 'noise32', 'noise35', 'noise36', 'noise40', 'noise41', 'noise44', 'noise48', 'noise49', 'noise51', 'noise52', 'noise53', 'noise61', 'noise69', 'noise70', 'noise75', 'noise76', 'noise78', 'noise79', 'noise81', 'noise88', 'noise94', 'noise95', 'noise96', 'noise103', 'noise106', 'noise107', 'noise108', 'noise110', 'noise112', 'noise114', 'noise118', 'noise119', 'noise123', 'noise126', 'noise132', 'noise133']"
DL_GA3,"['x2', 'x3', 'x5', 'x6', 'x7', 'x8', 'x9', 'x10', 'corr1', 'corr2', 'corr3', 'noise1', 'noise3', 'noise5', 'noise10', 'noise15', 'noise16', 'noise20', 'noise25', 'noise32', 'noise36', 'noise37', 'noise39', 'noise41', 'noise43', 'noise47', 'noise49', 'noise50', 'noise51', 'noise53', 'noise54', 'noise57', 'noise60', 'noise66', 'noise67', 'noise71', 'noise73', 'noise83', 'noise85', 'noise86', 'noise87', 'noise92', 'noise93', 'noise95', 'noise101', 'noise102', 'noise103', 'noise107', 'noise112', 'noise118', 'noise125', 'noise126', 'noise128', 'noise129', 'noise132', 'noise133', 'noise134', 'noise135']"
DL_GA4,"['x3', 'x4', 'x8', 'x9', 'x10', 'corr1', 'corr2', 'corr3', 'corr5', 'noise6', 'noise8', 'noise9', 'noise10', 'noise12', 'noise13', 'noise14', 'noise16', 'noise17', 'noise18', 'noise19', 'noise20', 'noise21', 'noise22', 'noise23', 'noise25', 'noise27', 'noise28', 'noise36', 'noise38', 'noise39', 'noise40', 'noise52', 'noise53', 'noise54', 'noise57', 'noise58', 'noise59', 'noise72', 'noise73', 'noise74', 'noise78', 'noise82', 'noise83', 'noise85', 'noise87', 'noise88', 'noise89', 'noise91', 'noise93', 'noise94', 'noise95', 'noise96', 'noise97', 'noise102', 'noise103', 'noise108', 'noise110', 'noise113', 'noise114', 'noise121', 'noise125', 'noise128', 'noise132', 'noise133', 'noise134']"
DL_GA5,"['x1', 'x2', 'x3', 'x4', 'x6', 'x7', 'x8', 'x9', 'x10', 'noise1', 'noise2', 'noise7', 'noise8', 'noise11', 'noise12', 'noise13', 'noise16', 'noise17', 'noise18', 'noise19', 'noise20', 'noise22', 'noise23', 'noise26', 'noise28', 'noise33', 'noise36', 'noise37', 'noise41', 'noise45', 'noise46', 'noise47', 'noise52', 'noise53', 'noise57', 'noise59', 'noise61', 'noise64', 'noise66', 'noise69', 'noise76', 'noise77', 'noise78', 'noise82', 'noise85', 'noise93', 'noise99', 'noise100', 'noise108', 'noise110', 'noise111', 'noise116', 'noise122', 'noise125', 'noise127', 'noise132', 'noise134', 'noise135']"
DL_GA6,"['x1', 'x2', 'x3', 'x4', 'x5', 'x6', 'x7', 'x8', 'x9', 'x10', 'corr5', 'noise3', 'noise5', 'noise9', 'noise10', 'noise12', 'noise15', 'noise18', 'noise21', 'noise23', 'noise24', 'noise25', 'noise29', 'noise30', 'noise33', 'noise34', 'noise35', 'noise42', 'noise43', 'noise44', 'noise47', 'noise51', 'noise53', 'noise54', 'noise59', 'noise62', 'noise63', 'noise68', 'noise73', 'noise77', 'noise79', 'noise84', 'noise85', 'noise87', 'noise92', 'noise96', 'noise97', 'noise98', 'noise100', 'noise102', 'noise103', 'noise104', 'noise106', 'noise110', 'noise111', 'noise117', 'noise118', 'noise119', 'noise122', 'noise126', 'noise128', 'noise134']"
DL_GA7,"['x1', 'x2', 'x3', 'x4', 'x5', 'x6', 'x7', 'x8', 'x9', 'x10', 'corr3', 'corr5', 'noise4', 'noise6', 'noise12', 'noise14', 'noise16', 'noise17', 'noise18', 'noise22', 'noise26', 'noise31', 'noise33', 'noise35', 'noise36', 'noise40', 'noise41', 'noise46', 'noise51', 'noise53', 'noise57', 'noise59', 'noise61', 'noise63', 'noise65', 'noise67', 'noise71', 'noise72', 'noise73', 'noise74', 'noise75', 'noise76', 'noise84', 'noise85', 'noise86', 'noise88', 'noise89', 'noise90', 'noise92', 'noise93', 'noise96', 'noise103', 'noise104', 'noise111', 'noise116', 'noise126', 'noise127', 'noise128', 'noise129', 'noise132', 'noise135']"
DL_GA8,"['x2', 'x3', 'x5', 'x6', 'x7', 'x8', 'x9', 'x10', 'corr1', 'corr2', 'corr3', 'noise1', 'noise5', 'noise10', 'noise15', 'noise20', 'noise21', 'noise25', 'noise28', 'noise29', 'noise32', 'noise34', 'noise36', 'noise37', 'noise39', 'noise43', 'noise50', 'noise51', 'noise52', 'noise53', 'noise54', 'noise57', 'noise60', 'noise66', 'noise67', 'noise71', 'noise76', 'noise78', 'noise83', 'noise85', 'noise87', 'noise88', 'noise89', 'noise90', 'noise92', 'noise93', 'noise95', 'noise96', 'noise98', 'noise100', 'noise101', 'noise103', 'noise105', 'noise109', 'noise112', 'noise113', 'noise114', 'noise116', 'noise118', 'noise121', 'noise123', 'noise125', 'noise126', 'noise128', 'noise129', 'noise130', 'noise132', 'noise133', 'noise134', 'noise135']"
DL_GA9,"['x2', 'x3', 'x4', 'x6', 'x8', 'x9', 'x10', 'corr1', 'corr2', 'corr3', 'noise6', 'noise8', 'noise10', 'noise11', 'noise12', 'noise13', 'noise14', 'noise16', 'noise17', 'noise18', 'noise19', 'noise20', 'noise21', 'noise22', 'noise23', 'noise25', 'noise27', 'noise28', 'noise29', 'noise32', 'noise36', 'noise38', 'noise40', 'noise46', 'noise52', 'noise53', 'noise57', 'noise58', 'noise59', 'noise60', 'noise71', 'noise72', 'noise73', 'noise74', 'noise77', 'noise78', 'noise82', 'noise83', 'noise88', 'noise91', 'noise93', 'noise94', 'noise95', 'noise96', 'noise97', 'noise98', 'noise99', 'noise102', 'noise103', 'noise109', 'noise110', 'noise113', 'noise114', 'noise115', 'noise125', 'noise128', 'noise132', 'noise133', 'noise134']"
DL_GA10,"['x1', 'x2', 'x3', 'x4', 'x5', 'x6', 'x7', 'x8', 'x9', 'x10', 'noise5', 'noise7', 'noise12', 'noise17', 'noise18', 'noise19', 'noise24', 'noise32', 'noise33', 'noise41', 'noise44', 'noise45', 'noise46', 'noise50', 'noise51', 'noise54', 'noise57', 'noise58', 'noise61', 'noise66', 'noise67', 'noise70', 'noise82', 'noise90', 'noise92', 'noise95', 'noise99', 'noise100', 'noise108', 'noise110', 'noise111', 'noise117', 'noise119', 'noise120', 'noise121', 'noise125', 'noise126', 'noise127', 'noise129', 'noise132', 'noise134']"
